Geographic Area Names,Total Female Age 18-44 years,"Total AmericanIndianORAlaskaNative Female, 18-44","Total BlackorAfricanAmerican Female, 18-44","Total HispanicORlatino Female, 18-44","Total White Female, 18-44","Total Asian Female, 18-44","Total NativeHawaiin&OtherPacificIslander Female, 18-44"
"Block Group 1, Census Tract 9609.01, Bartow County, Georgia",445,0.0,9.0,39.0,397.0,0.0,0.0
"Block Group 2, Census Tract 9609.01, Bartow County, Georgia",650,0.0,13.0,57.0,580.0,0.0,0.0
"Block Group 1, Census Tract 9609.02, Bartow County, Georgia",418,12.0,41.0,17.0,325.0,24.0,-1.0
"Block Group 2, Census Tract 9609.02, Bartow County, Georgia",222,6.0,22.0,9.0,173.0,13.0,-1.0
"Block Group 3, Census Tract 9609.02, Bartow County, Georgia",540,15.0,52.0,22.0,420.0,31.0,0.0
"Block Group 4, Census Tract 9609.02, Bartow County, Georgia",391,11.0,38.0,16.0,304.0,22.0,0.0
"Block Group 1, Census Tract 9610, Bartow County, Georgia",151,0.0,5.0,8.0,138.0,0.0,0.0
"Block Group 2, Census Tract 9610, Bartow County, Georgia",468,0.0,16.0,24.0,428.0,0.0,0.0
"Block Group 3, Census Tract 9610, Bartow County, Georgia",335,0.0,11.0,17.0,307.0,0.0,0.0
"Block Group 4, Census Tract 9610, Bartow County, Georgia",523,0.0,17.0,27.0,479.0,0.0,0.0
"Block Group 1, Census Tract 9601, Ben Hill County, Georgia",888,0.0,80.0,56.0,752.0,0.0,0.0
"Block Group 1, Census Tract 9602, Ben Hill County, Georgia",235,0.0,71.0,7.0,157.0,0.0,0.0
"Block Group 1, Census Tract 9603, Ben Hill County, Georgia",270,0.0,145.0,0.0,119.0,7.0,-1.0
"Block Group 2, Census Tract 9603, Ben Hill County, Georgia",57,0.0,31.0,0.0,25.0,1.0,0.0
"Block Group 3, Census Tract 9603, Ben Hill County, Georgia",430,0.0,230.0,0.0,189.0,11.0,0.0
"Block Group 4, Census Tract 9603, Ben Hill County, Georgia",113,0.0,60.0,0.0,50.0,3.0,0.0
"Block Group 1, Census Tract 9604, Ben Hill County, Georgia",359,0.0,206.0,49.0,104.0,0.0,0.0
"Block Group 2, Census Tract 9604, Ben Hill County, Georgia",491,0.0,282.0,67.0,142.0,0.0,0.0
"Block Group 3, Census Tract 9604, Ben Hill County, Georgia",124,0.0,71.0,17.0,36.0,0.0,0.0
"Block Group 4, Census Tract 9604, Ben Hill County, Georgia",185,0.0,106.0,25.0,54.0,0.0,0.0
"Block Group 1, Census Tract 9605, Ben Hill County, Georgia",817,0.0,268.0,57.0,492.0,0.0,0.0
"Block Group 2, Census Tract 9605, Ben Hill County, Georgia",95,0.0,31.0,7.0,57.0,0.0,0.0
