Geographic Area Names,Geography,Income in the past 12 months below poverty level!!Female!!18 to 44 years,Income in the past 12 months at or above poverty level!!Female!!18 to 44 years
"Block Group 1, Census Tract 129, Bibb County, Georgia",1400000US13021012900,131.0,204.0
"Block Group 2, Census Tract 129, Bibb County, Georgia",1400000US13021012900,24.0,38.0
"Block Group 1, Census Tract 131.01, Bibb County, Georgia",1400000US13021013101,379.0,553.0
"Block Group 2, Census Tract 131.01, Bibb County, Georgia",1400000US13021013101,247.0,360.0
"Block Group 3, Census Tract 131.01, Bibb County, Georgia",1400000US13021013101,104.0,151.0
"Block Group 1, Census Tract 131.02, Bibb County, Georgia",1400000US13021013102,72.0,63.0
"Block Group 2, Census Tract 131.02, Bibb County, Georgia",1400000US13021013102,287.0,255.0
"Block Group 3, Census Tract 131.02, Bibb County, Georgia",1400000US13021013102,137.0,122.0
"Block Group 4, Census Tract 131.02, Bibb County, Georgia",1400000US13021013102,187.0,165.0
"Block Group 1, Census Tract 132.01, Bibb County, Georgia",1400000US13021013201,34.0,77.0
"Block Group 2, Census Tract 132.01, Bibb County, Georgia",1400000US13021013201,580.0,1334.0
"Block Group 3, Census Tract 132.01, Bibb County, Georgia",1400000US13021013201,56.0,128.0
"Block Group 4, Census Tract 132.01, Bibb County, Georgia",1400000US13021013201,29.0,67.0
"Block Group 1, Census Tract 132.02, Bibb County, Georgia",1400000US13021013202,70.0,92.0
"Block Group 2, Census Tract 132.02, Bibb County, Georgia",1400000US13021013202,52.0,67.0
"Block Group 3, Census Tract 132.02, Bibb County, Georgia",1400000US13021013202,142.0,184.0
"Block Group 1, Census Tract 133.02, Bibb County, Georgia",1400000US13021013302,25.0,32.0
"Block Group 2, Census Tract 133.02, Bibb County, Georgia",1400000US13021013302,192.0,251.0
"Block Group 3, Census Tract 133.02, Bibb County, Georgia",1400000US13021013302,64.0,84.0
"Block Group 4, Census Tract 133.02, Bibb County, Georgia",1400000US13021013302,202.0,264.0
"Block Group 1, Census Tract 134.07, Bibb County, Georgia",1400000US13021013407,181.0,796.0
"Block Group 2, Census Tract 134.07, Bibb County, Georgia",1400000US13021013407,142.0,623.0
"Block Group 3, Census Tract 134.07, Bibb County, Georgia",1400000US13021013407,33.0,143.0
"Block Group 1, Census Tract 134.08, Bibb County, Georgia",1400000US13021013408,20.0,1007.0
"Block Group 2, Census Tract 134.08, Bibb County, Georgia",1400000US13021013408,3.0,146.0
"Block Group 1, Census Tract 134.09, Bibb County, Georgia",1400000US13021013409,48.0,495.0
"Block Group 2, Census Tract 134.09, Bibb County, Georgia",1400000US13021013409,31.0,321.0
"Block Group 1, Census Tract 134.10, Bibb County, Georgia",1400000US13021013410,0.0,222.0
"Block Group 2, Census Tract 134.10, Bibb County, Georgia",1400000US13021013410,0.0,218.0
"Block Group 3, Census Tract 134.10, Bibb County, Georgia",1400000US13021013410,0.0,310.0
"Block Group 1, Census Tract 134.11, Bibb County, Georgia",1400000US13021013411,176.0,542.0
